"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Demo evershop site product purchase journey","3","0","","0"
"0","","0","Demo evershop site auth journey","1","2","","0"
